asv_id	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV01687	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
ASV01692	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	
ASV01695	Fungi	Glomeromycota	Glomeromycetes	Entrophosporales	Entrophosporaceae	Claroideoglomus	
ASV01696	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma	
ASV01697	Fungi						
ASV01699	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Laetisaria	
ASV01702	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Syncephalastraceae	Syncephalastrum	racemosum
ASV01703	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Lichtheimia	ornata
ASV01706	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Trichophaeopsis	
ASV01707	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Dematiopleospora	salsolae
ASV01709	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV01712	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
ASV01715	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Neocamarosporiaceae	Neocamarosporium	artemisiae
ASV01716	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
ASV01718	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremaceae	Papiliotrema	
ASV01719	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	uzbekistanensis
ASV01721	Fungi	Ascomycota	Dothideomycetes			Monodictys	putredinis
ASV01723	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae		
ASV01724	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	terreus
ASV01726	Fungi	Basidiomycota	Agaricomycetes	Agaricales			
ASV01727	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Neocamarosporiaceae	Neocamarosporium	lamiacearum
ASV01732	Fungi						
ASV01733	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	
ASV01734	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Selenophoma	mahoniae
ASV01736	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	wieringae
ASV01737	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Simplicillium	album
ASV01738	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Septoriella	leuchtmannii
ASV01739	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	cladosporioides
ASV01741	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Simplicillium	album
ASV01744	Fungi	Ascomycota	Eurotiomycetes	Arachnomycetales	Arachnomycetaceae	Arachnomyces	
ASV01745	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella	prona
ASV01746	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Xenodidymella	
ASV01749	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Arthrocladium	
ASV01752	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	
ASV01753	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Octospora	
ASV01754	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae		
ASV01756	Fungi	Ascomycota					
ASV01757	Fungi						
ASV01758	Fungi	Ascomycota	Eurotiomycetes				
ASV01763	Fungi	Ascomycota	Sordariomycetes	Hypocreales		Bulbithecium	truncatum
ASV01768	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Vuilleminiaceae	Vuilleminia	coryli
ASV01771	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	
ASV01776	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV01779	Fungi	Ascomycota	Dothideomycetes	Myriangiales			
ASV01782	Fungi	Ascomycota					
ASV01784	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae		
